기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액
202303,11110515,청운효자동,CS100001,한식음식점,3251331172
202303,11110515,청운효자동,CS100002,중식음식점,296642191
202303,11110515,청운효자동,CS100003,일식음식점,347904187
202303,11110515,청운효자동,CS100004,양식음식점,2473618713
202303,11110515,청운효자동,CS100005,제과점,377988895
202303,11110515,청운효자동,CS100006,패스트푸드점,31372426
202303,11110515,청운효자동,CS100007,치킨전문점,67402005
202303,11110515,청운효자동,CS100008,분식전문점,144328093
202303,11110515,청운효자동,CS100009,호프-간이주점,328542662
202303,11110515,청운효자동,CS100010,커피-음료,5362606017
202303,11110515,청운효자동,CS200001,일반교습학원,538431846
202303,11110515,청운효자동,CS200003,예술학원,84215385
202303,11110515,청운효자동,CS200005,스포츠 강습,104748546
202303,11110515,청운효자동,CS200006,일반의원,455529647
202303,11110515,청운효자동,CS200007,치과의원,202426285
202303,11110515,청운효자동,CS200026,자동차미용,208231083
202303,11110515,청운효자동,CS200028,미용실,251473737
202303,11110515,청운효자동,CS200030,피부관리실,29143835
202303,11110515,청운효자동,CS200031,세탁소,70147858
202303,11110515,청운효자동,CS200032,가전제품수리,473873
202303,11110515,청운효자동,CS300001,슈퍼마켓,1910651303
202303,11110515,청운효자동,CS300002,편의점,1159312877
202303,11110515,청운효자동,CS300006,미곡판매,14148839
202303,11110515,청운효자동,CS300007,육류판매,263331832
202303,11110515,청운효자동,CS300008,수산물판매,95068103
202303,11110515,청운효자동,CS300009,청과상,740856440
202303,11110515,청운효자동,CS300010,반찬가게,426000000
202303,11110515,청운효자동,CS300011,일반의류,290966199
202303,11110515,청운효자동,CS300014,신발,24000000
202303,11110515,청운효자동,CS300017,시계및귀금속,2000000
202303,11110515,청운효자동,CS300018,의약품,820202880
202303,11110515,청운효자동,CS300020,서적,4264348054
202303,11110515,청운효자동,CS300021,문구,3208768
202303,11110515,청운효자동,CS300027,섬유제품,25673386
202303,11110515,청운효자동,CS300028,화초,265558697
202303,11110515,청운효자동,CS300033,철물점,50829140
202303,11110515,청운효자동,CS300035,인테리어,113122568
202303,11110530,사직동,CS100001,한식음식점,35383577175
202303,11110530,사직동,CS100002,중식음식점,2715123615
202303,11110530,사직동,CS100003,일식음식점,4509833947
202303,11110530,사직동,CS100004,양식음식점,5453019774
202303,11110530,사직동,CS100005,제과점,1203623276
202303,11110530,사직동,CS100006,패스트푸드점,798700152
202303,11110530,사직동,CS100007,치킨전문점,499820461
202303,11110530,사직동,CS100008,분식전문점,2323442946
202303,11110530,사직동,CS100009,호프-간이주점,5976142805
202303,11110530,사직동,CS100010,커피-음료,11851061174
202303,11110530,사직동,CS200001,일반교습학원,530884353
202303,11110530,사직동,CS200003,예술학원,278450898
202303,11110530,사직동,CS200005,스포츠 강습,335462722
202303,11110530,사직동,CS200006,일반의원,1852742012
202303,11110530,사직동,CS200007,치과의원,2087137594
202303,11110530,사직동,CS200008,한의원,659971751
202303,11110530,사직동,CS200016,당구장,53215748
202303,11110530,사직동,CS200024,스포츠클럽,2011551258
202303,11110530,사직동,CS200025,자동차수리,367259911
202303,11110530,사직동,CS200028,미용실,388632150
202303,11110530,사직동,CS200029,네일숍,62312267
202303,11110530,사직동,CS200030,피부관리실,162956146
202303,11110530,사직동,CS200031,세탁소,76623795
202303,11110530,사직동,CS200034,여관,63184778
202303,11110530,사직동,CS200037,노래방,344853470
202303,11110530,사직동,CS300001,슈퍼마켓,2461907084
202303,11110530,사직동,CS300002,편의점,4269015648
202303,11110530,사직동,CS300006,미곡판매,252729995
202303,11110530,사직동,CS300007,육류판매,912646389
202303,11110530,사직동,CS300009,청과상,210508843
202303,11110530,사직동,CS300010,반찬가게,1238788246
202303,11110530,사직동,CS300011,일반의류,671994831
202303,11110530,사직동,CS300015,가방,27000000
202303,11110530,사직동,CS300016,안경,261596877
202303,11110530,사직동,CS300017,시계및귀금속,19144394
202303,11110530,사직동,CS300018,의약품,401067079
202303,11110530,사직동,CS300019,의료기기,2043917791
202303,11110530,사직동,CS300020,서적,115649816
202303,11110530,사직동,CS300021,문구,2183294168
202303,11110530,사직동,CS300022,화장품,1532501640
202303,11110530,사직동,CS300028,화초,290905228
202303,11110540,삼청동,CS100001,한식음식점,7460357254
202303,11110540,삼청동,CS100003,일식음식점,24416601
202303,11110540,삼청동,CS100004,양식음식점,4356641481
202303,11110540,삼청동,CS100005,제과점,1178687744
202303,11110540,삼청동,CS100006,패스트푸드점,405029443
202303,11110540,삼청동,CS100008,분식전문점,1592972970
202303,11110540,삼청동,CS100009,호프-간이주점,739101576
202303,11110540,삼청동,CS100010,커피-음료,7424394162
202303,11110540,삼청동,CS200006,일반의원,245754070
202303,11110540,삼청동,CS300001,슈퍼마켓,433249800
202303,11110540,삼청동,CS300002,편의점,1219217862
202303,11110540,삼청동,CS300010,반찬가게,206367060
202303,11110540,삼청동,CS300011,일반의류,12730272187
202303,11110540,삼청동,CS300014,신발,409884455
202303,11110540,삼청동,CS300015,가방,8399745
202303,11110540,삼청동,CS300017,시계및귀금속,468884439
202303,11110540,삼청동,CS300018,의약품,294588350
202303,11110540,삼청동,CS300020,서적,6001029
202303,11110540,삼청동,CS300022,화장품,724799876
202303,11110540,삼청동,CS300028,화초,80295989
202303,11110540,삼청동,CS300043,전자상거래업,339000000
202303,11110550,부암동,CS100001,한식음식점,873876996
202303,11110550,부암동,CS100002,중식음식점,56149012
202303,11110550,부암동,CS100004,양식음식점,672475613
202303,11110550,부암동,CS100005,제과점,314334789
202303,11110550,부암동,CS100006,패스트푸드점,49909864
202303,11110550,부암동,CS100008,분식전문점,81777422
202303,11110550,부암동,CS100009,호프-간이주점,74824308
202303,11110550,부암동,CS100010,커피-음료,630965479
202303,11110550,부암동,CS200001,일반교습학원,452875277
202303,11110550,부암동,CS200003,예술학원,146032242
202303,11110550,부암동,CS200005,스포츠 강습,153914580
202303,11110550,부암동,CS200024,스포츠클럽,57752880
202303,11110550,부암동,CS200025,자동차수리,1791168037
202303,11110550,부암동,CS200028,미용실,58268168
202303,11110550,부암동,CS200031,세탁소,35631584
202303,11110550,부암동,CS300001,슈퍼마켓,57804800
202303,11110550,부암동,CS300002,편의점,724013740
202303,11110550,부암동,CS300006,미곡판매,3543700
202303,11110550,부암동,CS300010,반찬가게,8394846
202303,11110550,부암동,CS300011,일반의류,155371119
202303,11110550,부암동,CS300020,서적,6754031
202303,11110550,부암동,CS300028,화초,51188183
202303,11110560,평창동,CS100001,한식음식점,2581447569
202303,11110560,평창동,CS100002,중식음식점,251720847
202303,11110560,평창동,CS100003,일식음식점,12212490
202303,11110560,평창동,CS100004,양식음식점,60332138
202303,11110560,평창동,CS100005,제과점,379720233
202303,11110560,평창동,CS100006,패스트푸드점,284394280
202303,11110560,평창동,CS100008,분식전문점,196733626
202303,11110560,평창동,CS100009,호프-간이주점,506369507
202303,11110560,평창동,CS100010,커피-음료,177856237
202303,11110560,평창동,CS200001,일반교습학원,188303278
202303,11110560,평창동,CS200003,예술학원,25030659
202303,11110560,평창동,CS200005,스포츠 강습,203287370
202303,11110560,평창동,CS200006,일반의원,321652359
202303,11110560,평창동,CS200007,치과의원,211342904
202303,11110560,평창동,CS200008,한의원,67404460
202303,11110560,평창동,CS200016,당구장,20270355
202303,11110560,평창동,CS200025,자동차수리,34035852
202303,11110560,평창동,CS200028,미용실,166418499
202303,11110560,평창동,CS200030,피부관리실,1894737
202303,11110560,평창동,CS200031,세탁소,84046881
202303,11110560,평창동,CS200034,여관,48175862
202303,11110560,평창동,CS300001,슈퍼마켓,1132530399
202303,11110560,평창동,CS300002,편의점,396273860
202303,11110560,평창동,CS300004,핸드폰,11122616
202303,11110560,평창동,CS300007,육류판매,173718426
202303,11110560,평창동,CS300011,일반의류,52575925
202303,11110560,평창동,CS300018,의약품,256288675
202303,11110560,평창동,CS300020,서적,205988433
202303,11110560,평창동,CS300021,문구,12492885
202303,11110560,평창동,CS300028,화초,5183472
202303,11110560,평창동,CS300029,애완동물,532319
202303,11110570,무악동,CS100001,한식음식점,524733990
202303,11110570,무악동,CS100005,제과점,465048185
202303,11110570,무악동,CS100007,치킨전문점,88204439
202303,11110570,무악동,CS100008,분식전문점,12000000
202303,11110570,무악동,CS100009,호프-간이주점,63000000
202303,11110570,무악동,CS100010,커피-음료,78049747
202303,11110570,무악동,CS200001,일반교습학원,409771883
202303,11110570,무악동,CS200003,예술학원,6962097
202303,11110570,무악동,CS200007,치과의원,201504833
202303,11110570,무악동,CS200028,미용실,62712710
202303,11110570,무악동,CS300001,슈퍼마켓,1134720818
202303,11110570,무악동,CS300002,편의점,788492814
202303,11110570,무악동,CS300018,의약품,3780982971
202303,11110570,무악동,CS300033,철물점,351968303
202303,11110580,교남동,CS100001,한식음식점,1906201874
202303,11110580,교남동,CS100002,중식음식점,766900092
202303,11110580,교남동,CS100003,일식음식점,288000000
202303,11110580,교남동,CS100005,제과점,124275749
202303,11110580,교남동,CS100006,패스트푸드점,51308502
202303,11110580,교남동,CS100007,치킨전문점,77725580
202303,11110580,교남동,CS100008,분식전문점,40948085
202303,11110580,교남동,CS100010,커피-음료,174334790
202303,11110580,교남동,CS200001,일반교습학원,220211255
202303,11110580,교남동,CS200005,스포츠 강습,57145318
202303,11110580,교남동,CS200006,일반의원,992761944
202303,11110580,교남동,CS200007,치과의원,10935366
202303,11110580,교남동,CS200008,한의원,98203004
202303,11110580,교남동,CS200028,미용실,24649746
202303,11110580,교남동,CS300001,슈퍼마켓,130374182
202303,11110580,교남동,CS300002,편의점,947625957
202303,11110580,교남동,CS300018,의약품,3827084931
202303,11110580,교남동,CS300019,의료기기,17577612
202303,11110580,교남동,CS300020,서적,50591325
202303,11110600,가회동,CS100001,한식음식점,9772944109
202303,11110600,가회동,CS100003,일식음식점,1001698089
202303,11110600,가회동,CS100004,양식음식점,4335942538
202303,11110600,가회동,CS100005,제과점,1581277051
202303,11110600,가회동,CS100006,패스트푸드점,126723125
202303,11110600,가회동,CS100007,치킨전문점,180098297
202303,11110600,가회동,CS100008,분식전문점,1056493009
202303,11110600,가회동,CS100009,호프-간이주점,4037417464
202303,11110600,가회동,CS100010,커피-음료,3180957900
202303,11110600,가회동,CS200001,일반교습학원,129546778
202303,11110600,가회동,CS200005,스포츠 강습,342179307
202303,11110600,가회동,CS200008,한의원,213382953
202303,11110600,가회동,CS200016,당구장,13763679
202303,11110600,가회동,CS200028,미용실,77743970
202303,11110600,가회동,CS200037,노래방,47282320
202303,11110600,가회동,CS300001,슈퍼마켓,488119118
202303,11110600,가회동,CS300002,편의점,741852253
202303,11110600,가회동,CS300010,반찬가게,1302588235
202303,11110600,가회동,CS300011,일반의류,680720725
202303,11110600,가회동,CS300015,가방,7192584
202303,11110600,가회동,CS300016,안경,28490939
202303,11110600,가회동,CS300017,시계및귀금속,425586304
202303,11110600,가회동,CS300020,서적,16859439
202303,11110600,가회동,CS300021,문구,109350119
202303,11110600,가회동,CS300028,화초,28485320
202303,11110615,종로1·2·3·4가동,CS100001,한식음식점,1.01E+11
202303,11110615,종로1·2·3·4가동,CS100002,중식음식점,8334914347
202303,11110615,종로1·2·3·4가동,CS100003,일식음식점,10223990205
202303,11110615,종로1·2·3·4가동,CS100004,양식음식점,11877145559
202303,11110615,종로1·2·3·4가동,CS100005,제과점,4603947868
