연번,호선,고유역번호(외부역코드),역명,연월,승하차인원수
1,1,150,서울역(1),2201,2139094
2,1,151,시청(1),2201,1016011
3,1,152,종각,2201,1626882
4,1,153,종로3가(1),2201,1258090
5,1,154,종로5가,2201,1112653
6,1,155,동대문(1),2201,579385
7,1,156,신설동(1),2201,689637
8,1,157,제기동,2201,971569
9,1,158,청량리,2201,1083534
10,1,159,동묘앞(1),2201,502544
11,2,201,시청(2),2201,1038259
12,2,202,을지로입구,2201,1899368
13,2,203,을지로3가(2),2201,1056052
14,2,204,을지로4가(2),2201,611785
15,2,205,동대문역사문화공원(2),2201,677892
16,2,206,신당(2),2201,728131
17,2,207,상왕십리,2201,709188
18,2,208,왕십리(2),2201,754912
19,2,209,한양대,2201,334965
20,2,210,뚝섬,2201,1121639
21,2,211,성수,2201,1901201
22,2,212,건대입구(2),2201,1981180
23,2,213,구의,2201,1195904
24,2,214,강변,2201,1574998
25,2,215,잠실나루,2201,683280
26,2,216,잠실(2),2201,3670407
27,2,217,잠실새내,2201,1097162
28,2,218,종합운동장(2),2201,400923
29,2,219,삼성,2201,2550605
30,2,220,선릉,2201,2480145
31,2,221,역삼,2201,2586652
32,2,222,강남,2201,4354852
33,2,223,교대(2),2201,1705675
34,2,224,서초,2201,1030418
35,2,225,방배,2201,814561
36,2,226,사당(2),2201,1981832
37,2,227,낙성대,2201,1374504
38,2,228,서울대입구,2201,2430230
39,2,229,봉천,2201,1173284
40,2,230,신림,2201,3259231
41,2,231,신대방,2201,1345562
42,2,232,구로디지털단지,2201,2918648
43,2,233,대림(2),2201,1257541
44,2,234,신도림,2201,2438151
45,2,235,문래,2201,1044142
46,2,236,영등포구청(2),2201,1130176
47,2,237,당산,2201,970022
48,2,238,합정(2),2201,1688057
49,2,239,홍대입구,2201,3149639
50,2,240,신촌,2201,1733594
51,2,241,이대,2201,659971
52,2,242,아현,2201,499207
53,2,243,충정로(2),2201,488939
54,2,244,용답,2201,148617
55,2,245,신답,2201,90400
56,2,246,신설동(2),2201,200061
57,2,247,도림천,2201,70986
58,2,248,양천구청,2201,355476
59,2,249,신정네거리,2201,535001
60,2,250,용두,2201,129485
61,3,309,지축,2201,222581
62,3,310,구파발,2201,1028273
63,3,311,연신내(3),2201,1843897
64,3,312,불광(3),2201,870441
65,3,313,녹번,2201,739478
66,3,314,홍제,2201,854602
67,3,315,무악재,2201,201042
68,3,316,독립문,2201,352851
69,3,317,경복궁,2201,979435
70,3,318,안국,2201,1010398
71,3,319,종로3가(3),2201,539266
72,3,320,을지로3가(3),2201,503740
73,3,322,동대입구,2201,394311
74,3,323,약수(3),2201,641207
75,3,324,금호,2201,402615
76,3,325,옥수,2201,473133
77,3,326,압구정,2201,1728933
78,3,327,신사,2201,1677421
79,3,328,잠원,2201,237362
80,3,329,고속터미널(3),2201,2336338
81,3,330,교대(3),2201,550915
82,3,331,남부터미널,2201,1487623
83,3,332,양재,2201,1949712
84,3,333,매봉,2201,593098
85,3,334,도곡,2201,265234
86,3,335,대치,2201,605192
87,3,336,학여울,2201,97228
88,3,337,대청,2201,477642
89,3,338,일원,2201,477410
90,3,339,수서,2201,901456
91,3,340,가락시장(3),2201,453683
92,3,341,경찰병원,2201,364595
93,3,342,오금(3),2201,292774
94,4,409,당고개,2201,637733
95,4,410,상계,2201,938632
96,4,411,노원(4),2201,1050708
97,4,412,창동,2201,1371445
98,4,413,쌍문,2201,1435215
99,4,414,수유,2201,1743761
100,4,415,미아,2201,731257
101,4,416,미아사거리,2201,1395070
102,4,417,길음,2201,1005586
103,4,418,성신여대입구,2201,1018649
104,4,419,한성대입구,2201,657208
105,4,420,혜화,2201,1709704
106,4,421,동대문(4),2201,920567
107,4,422,동대문역사문화공원(4),2201,727796
108,4,423,충무로(4),2201,1215766
109,4,424,명동,2201,954231
110,4,425,회현,2201,1207856
111,4,426,서울역(4),2201,682330
112,4,427,숙대입구,2201,623927
113,4,428,삼각지(4),2201,265642
114,4,429,신용산,2201,846688
115,4,430,이촌,2201,414174
116,4,431,동작,2201,102337
117,4,432,이수(총신대입구),2201,1008915
118,4,433,사당(4),2201,1191499
119,4,434,남태령,2201,57010
120,5,2511,방화,2201,333948
121,5,2512,개화산,2201,277592
